S.No, Cement (kg/m3), Fly Ash (kg/m3), Water (kg/m3), Superplasticizer (kg/m3), Coarse Aggregate (kg/m3), Fine Aggregate (kg/m3), Age (Day), Compressive Strength (MPa)
405, 302, 0, 203, 0, 974, 817, 28, 21.75
406, 397, 0, 185, 0, 1040, 734, 28, 39.09
407, 480, 0, 192, 0, 936, 721, 3, 24.39
408, 522, 0, 146, 0, 896, 896, 7, 50.51
409, 522, 0, 146, 0, 896, 896, 28, 74.99
410, 144, 175, 158, 18, 943, 844, 28, 15.42
411, 374, 0, 190, 7, 1013, 730, 28, 39.05
412, 305, 100, 196, 10, 959, 705, 28, 30.12
413, 151, 184, 167, 12, 991, 772, 28, 15.57
414, 165, 150, 182, 12, 1023, 729, 28, 18.03
415, 298, 107, 186, 6, 879, 815, 28, 42.64
416, 318, 126, 210, 6, 861, 737, 28, 40.06
417, 356, 142, 193, 11, 801, 778, 28, 40.87
418, 164, 200, 181, 13, 849, 846, 28, 15.09
419, 314, 113, 170, 10, 925, 783, 28, 38.46
420, 321, 128, 182, 11, 870, 780, 28, 37.26
421, 298, 107, 210, 11, 880, 744, 28, 31.87
422, 322, 116, 196, 10, 818, 813, 28, 31.18
423, 313, 113, 178, 8, 1002, 689, 28, 36.8
424, 296, 107, 221, 11, 819, 778, 28, 31.42
425, 152, 112, 184, 8, 992, 816, 28, 12.18
426, 300, 120, 212, 10, 878, 728, 28, 23.84
427, 148, 137, 158, 16, 1002, 830, 28, 17.95
428, 326, 138, 199, 11, 801, 792, 28, 40.68
429, 158, 195, 220, 11, 898, 713, 28, 8.54
430, 151, 185, 167, 16, 1074, 678, 28, 13.46
431, 273, 90, 199, 11, 931, 762, 28, 32.24
432, 336, 0, 182, 3, 986, 817, 28, 44.86
433, 145, 134, 181, 11, 979, 812, 28, 13.2
434, 155, 143, 193, 9, 1047, 697, 28, 12.46
435, 135, 166, 180, 10, 961, 805, 28, 13.29
436, 148, 182, 181, 15, 839, 884, 28, 15.52
437, 298, 107, 164, 13, 953, 784, 28, 35.86
438, 145, 179, 202, 8, 824, 869, 28, 10.54
439, 313, 0, 178, 8, 1000, 822, 28, 25.1
440, 155, 143, 193, 9, 877, 868, 28, 9.74
441, 313.3, 113, 178.5, 8, 1001.9, 688.7, 28, 36.8
442, 296, 106.7, 221.4, 10.5, 819.2, 778.4, 28, 31.42
443, 151.6, 111.9, 184.4, 7.9, 992, 815.9, 28, 12.18
444, 299.8, 119.8, 211.5, 9.9, 878.2, 727.6, 28, 23.84
445, 148.1, 136.6, 158.1, 16.1, 1001.8, 830.1, 28, 17.96
446, 326.5, 137.9, 199, 10.8, 801.1, 792.5, 28, 38.63
447, 158.4, 194.9, 219.7, 11, 897.7, 712.9, 28, 8.54
448, 150.7, 185.3, 166.7, 15.6, 1074.5, 678, 28, 13.46
449, 272.6, 89.6, 198.7, 10.6, 931.3, 762.2, 28, 32.25
450, 336.5, 0, 181.9, 3.4, 985.8, 816.8, 28, 44.87
451, 144.8, 133.6, 180.8, 11.1, 979.5, 811.5, 28, 13.2
452, 154.8, 142.8, 193.3, 9.1, 1047.4, 696.7, 28, 12.46
453, 134.7, 165.7, 180.2, 10, 961, 804.9, 28, 13.29
454, 148.1, 182.1, 181.4, 15, 838.9, 884.3, 28, 15.53
455, 298.1, 107.5, 163.6, 12.8, 953.2, 784, 28, 35.87
456, 145.4, 178.9, 201.7, 7.8, 824, 868.7, 28, 10.54
457, 312.7, 0, 178.1, 8, 999.7, 822.2, 28, 25.1
458, 154.8, 142.8, 193.3, 9.1, 877.2, 867.7, 28, 9.74
459, 143.6, 174.9, 158.4, 17.9, 942.7, 844.5, 28, 15.42
460, 374.3, 0, 190.2, 6.7, 1013.2, 730.4, 28, 39.06
461, 304.8, 99.6, 196, 9.8, 959.4, 705.2, 28, 30.12
462, 150.9, 183.9, 166.6, 11.6, 991.2, 772.2, 28, 15.57
463, 164.6, 150.4, 181.6, 11.7, 1023.3, 728.9, 28, 18.03
464, 298.1, 107, 186.4, 6.1, 879, 815.2, 28, 42.64
465, 317.9, 126.5, 209.7, 5.7, 860.5, 736.6, 28, 40.06
466, 355.9, 141.6, 193.3, 11, 801.4, 778.4, 28, 40.87
467, 164.2, 200.1, 181.2, 12.6, 849.3, 846, 28, 15.09
468, 313.8, 112.6, 169.9, 10.1, 925.3, 782.9, 28, 38.46
469, 321.4, 127.9, 182.5, 11.5, 870.1, 779.7, 28, 37.27
470, 298.2, 107, 209.7, 11.1, 879.6, 744.2, 28, 31.88
471, 322.2, 115.6, 196, 10.4, 817.9, 813.4, 28, 31.18
