W/c ratio ,Cement Content ,Fine Aggregate ,Coarse Aggregate ,Water content ,SiO2 ,CaO ,Fe2O3 ,Al2O3 ,Specific Gravity ,Curing Days ,Replacement Percentage ,Compressive Strength
0.4 ,240 ,543 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,40 ,4.95
0.4 ,200 ,533 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,50 ,4.61
0.4 ,160 ,522 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,60 ,4.44
0.34 ,400 ,649 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,0 ,5.51
0.34 ,320 ,628 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,20 ,5.6
0.34 ,280 ,618 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,30 ,5.74
0.34 ,240 ,607 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,40 ,5.81
0.34 ,200 ,596 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,50 ,5.43
0.34 ,160 ,586 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,60 ,4.92
0.3 ,400 ,692 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,0 ,6.37
0.3 ,320 ,671 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,20 ,6.35
0.3 ,280 ,660 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,30 ,6.4
0.3 ,240 ,650 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,40 ,6.57
0.3 ,200 ,639 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,50 ,5.86
0.3 ,160 ,628 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,90 ,60 ,5.25
0.4 ,400 ,585 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,0 ,5.26
0.4 ,320 ,564 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,20 ,5.44
0.4 ,280 ,554 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,30 ,5.49
0.4 ,240 ,543 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,40 ,5.68
0.4 ,200 ,533 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,50 ,5.41
0.4 ,160 ,522 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,60 ,5.16
0.34 ,400 ,649 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,0 ,5.74
0.34 ,320 ,628 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,20 ,6.07
0.34 ,280 ,618 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,30 ,6.2
0.34 ,240 ,607 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,40 ,6.2
0.34 ,200 ,596 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,50 ,5.77
0.34 ,160 ,586 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,60 ,5.17
0.3 ,400 ,692 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,0 ,6.49
0.3 ,320 ,671 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,20 ,6.6
0.3 ,280 ,660 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,30 ,6.66
0.3 ,240 ,650 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,40 ,6.71
0.3 ,200 ,639 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,50 ,5.95
0.3 ,160 ,628 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,180 ,60 ,5.45
0.4 ,400 ,585 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,0 ,5.49
0.4 ,320 ,564 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,20 ,5.61
0.4 ,280 ,554 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,30 ,5.64
0.4 ,240 ,543 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,40 ,5.83
0.4 ,200 ,533 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,50 ,5.59
0.4 ,160 ,522 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,60 ,5.34
0.34 ,400 ,649 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,0 ,6.11
0.34 ,320 ,628 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,20 ,6.19
0.34 ,280 ,618 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,30 ,6.33
0.34 ,240 ,607 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,40 ,6.57
0.34 ,200 ,596 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,50 ,6.32
0.34 ,160 ,586 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,60 ,5.61
0.3 ,400 ,692 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,0 ,6.93
0.3 ,320 ,671 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,20 ,7.04
0.3 ,280 ,660 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,30 ,7.08
0.3 ,240 ,650 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,40 ,7.28
0.3 ,200 ,639 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,50 ,6.67
0.3 ,160 ,628 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,256 ,60 ,5.6
0.4 ,400 ,585 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,0 ,5.74
0.4 ,320 ,564 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,20 ,5.84
0.4 ,280 ,554 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,30 ,5.96
0.4 ,240 ,543 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,40 ,6.06
0.4 ,200 ,533 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,50 ,5.84
0.4 ,160 ,522 ,1270 ,160 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,60 ,5.48
0.34 ,400 ,649 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,0 ,6.27
0.34 ,320 ,628 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,20 ,6.33
0.34 ,280 ,618 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,30 ,6.54
0.34 ,240 ,607 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,40 ,6.71
0.34 ,200 ,596 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,50 ,6.43
0.34 ,160 ,586 ,1270 ,136 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,60 ,5.78
0.3 ,400 ,692 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,0 ,7.06
0.3 ,320 ,671 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,20 ,7.06
0.3 ,280 ,660 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,30 ,7.39
0.3 ,240 ,650 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,40 ,7.5
0.3 ,200 ,639 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,50 ,7.4
0.3 ,160 ,628 ,1270 ,120 ,62.54 ,1.54 ,4.98 ,28 ,2.4 ,365 ,60 ,6.22
- ,250 ,1285 ,555 ,218 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,0 ,23.1
- ,200 ,1293 ,558 ,216 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,15 ,21.3
- ,200 ,1266 ,547 ,219 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,25 ,22.4
- ,200 ,1246 ,538 ,221 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,33 ,22.9
- ,200 ,1225 ,529 ,224 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,42 ,22.7
- ,200 ,1203 ,519 ,229 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,50 ,21.4
- ,200 ,1184 ,511 ,232 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,58 ,20
- ,300 ,1242 ,536 ,225 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,0 ,29.5
- ,240 ,1251 ,540 ,223 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,15 ,27.1
- ,240 ,1221 ,527 ,225 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,25 ,29.2
- ,240 ,1195 ,516 ,228 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,33 ,29.6
- ,240 ,1176 ,508 ,231 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,42 ,29.8
- ,240 ,1146 ,495 ,236 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,50 ,28.5
- ,240 ,1122 ,484 ,240 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,58 ,26.9
- ,350 ,1197 ,517 ,232 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,0 ,35.7
- ,280 ,1208 ,522 ,230 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,15 ,33
- ,280 ,1174 ,507 ,232 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,25 ,35.6
- ,280 ,1142 ,493 ,236 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,33 ,36.2
- ,280 ,1114 ,481 ,240 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,42 ,36.5
- ,280 ,1088 ,470 ,245 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,50 ,35.5
- ,280 ,1058 ,457 ,249 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,58 ,33.6
- ,400 ,1154 ,498 ,239 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,0 ,41.5
- ,320 ,1159 ,501 ,237 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,15 ,39.3
- ,320 ,1122 ,484 ,240 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,25 ,41.4
- ,320 ,1096 ,473 ,243 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,33 ,42.5
- ,320 ,1062 ,458 ,247 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,42 ,42.7
- ,320 ,1032 ,446 ,251 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,50 ,41.2
- ,320 ,1009 ,436 ,255 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,28 ,58 ,39.5
- ,250 ,1285 ,555 ,218 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,0 ,26.6
- ,200 ,1293 ,558 ,216 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,15 ,25
- ,200 ,1266 ,547 ,219 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,25 ,26.7
- ,200 ,1246 ,538 ,221 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,33 ,27.2
- ,200 ,1225 ,529 ,224 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,42 ,27.1
- ,200 ,1203 ,519 ,229 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,50 ,25.7
- ,200 ,1184 ,511 ,232 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,58 ,24.2
- ,300 ,1242 ,536 ,225 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,0 ,34.2
- ,240 ,1251 ,540 ,223 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,15 ,32.2
- ,240 ,1221 ,527 ,225 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,25 ,34.6
- ,240 ,1195 ,516 ,228 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,33 ,35.3
- ,240 ,1176 ,508 ,231 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,42 ,35.6
- ,240 ,1146 ,495 ,236 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,50 ,34.2
- ,240 ,1122 ,484 ,240 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,58 ,32.6
- ,350 ,1197 ,517 ,232 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,0 ,41.4
- ,280 ,1208 ,522 ,230 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,15 ,38.9
- ,280 ,1174 ,507 ,232 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,25 ,42.2
- ,280 ,1142 ,493 ,236 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,33 ,43.3
- ,280 ,1114 ,481 ,240 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,42 ,43.4
- ,280 ,1088 ,470 ,245 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,50 ,42.5
- ,280 ,1058 ,457 ,249 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,58 ,40.8
- ,400 ,1154 ,498 ,239 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,0 ,48
- ,320 ,1159 ,501 ,237 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,15 ,46.3
- ,320 ,1122 ,484 ,240 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,25 ,49.3
- ,320 ,1096 ,473 ,243 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,33 ,50.7
- ,320 ,1062 ,458 ,247 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,42 ,50.9
- ,320 ,1032 ,446 ,251 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,50 ,49.7
- ,320 ,1009 ,436 ,255 ,57.55 ,2.1 ,6.5 ,25.16 ,- ,180 ,58 ,48.3
0.38 ,347 ,864 ,1039 ,132 ,- ,- ,- ,- ,- ,28 ,0 ,59
0.31 ,157 ,827 ,1152 ,109 ,45.2 ,1.36 ,24.83 ,20.7 ,- ,28 ,56 ,68
0.46 ,304 ,830 ,1.68 ,139 ,- ,- ,- ,- ,- ,28 ,0 ,49
0.35 ,154 ,768 ,1129 ,123 ,45.2 ,1.36 ,24.83 ,20.7 ,- ,28 ,56 ,52
0.38 ,152 ,772 ,698 ,130 ,45.2 ,1.36 ,24.83 ,20.7 ,- ,28 ,56 ,26
0.39 ,153 ,755 ,609 ,136 ,45.2 ,1.36 ,24.83 ,20.7 ,- ,28 ,56 ,21
0.38 ,153 ,757 ,726 ,131 ,45.2 ,1.36 ,24.83 ,20.7 ,- ,28 ,56 ,31
0.33 ,154 ,645 ,1198 ,120 ,49.02 ,2.37 ,12.31 ,26.69 ,- ,28 ,58 ,32
0.33 ,149 ,631 ,1173 ,118 ,49.02 ,2.37 ,12.31 ,26.69 ,- ,28 ,58 ,38
0.33 ,152 ,645 ,1203 ,119 ,46.2 ,14.93 ,7.7 ,15.6 ,- ,28 ,58 ,37
0.33 ,154 ,650 ,1209 ,120 ,46.38 ,19.34 ,7.38 ,15.32 ,- ,28 ,58 ,37
0.33 ,152 ,638 ,1187 ,119 ,47.33 ,1.81 ,13.82 ,25.44 ,- ,28 ,58 ,33
0.36 ,500 ,876 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,1 ,0 ,38
0.36 ,400 ,845 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,1 ,20 ,19
0.36 ,300 ,813 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,1 ,40 ,17
0.36 ,200 ,782 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,1 ,60 ,5
0.36 ,100 ,751 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,1 ,80 ,
0.36 ,500 ,876 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,7 ,0 ,65
0.36 ,400 ,845 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,7 ,20 ,42
0.36 ,300 ,813 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,7 ,40 ,42
0.36 ,200 ,782 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,7 ,60 ,21.5
0.36 ,100 ,751 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,7 ,80 ,6
0.36 ,500 ,876 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,28 ,0 ,72
0.36 ,400 ,845 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,28 ,20 ,55
0.36 ,300 ,813 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,28 ,40 ,58
0.36 ,200 ,782 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,28 ,60 ,32.5
0.36 ,100 ,751 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,28 ,80 ,10
0.36 ,500 ,876 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,56 ,0 ,85
0.36 ,400 ,845 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,56 ,20 ,61
0.36 ,300 ,813 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,56 ,40 ,69
0.36 ,200 ,782 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,56 ,60 ,39
0.36 ,100 ,751 ,876 ,180 ,50.5 ,2.6 ,7.4 ,24.7 ,- ,56 ,80 ,12
0.35 ,404 ,570 ,353 ,202 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,3 ,30 ,24
0.35 ,404 ,570 ,353 ,202 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,3 ,30 ,30
0.35 ,404 ,570 ,353 ,202 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,3 ,30 ,30
0.3 ,333 ,545 ,338 ,200 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,3 ,50 ,15
0.3 ,333 ,545 ,338 ,193 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,3 ,50 ,23
0.3 ,333 ,545 ,338 ,195 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,3 ,50 ,23
0.35 ,404 ,570 ,353 ,202 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,7 ,30 ,32
0.35 ,404 ,570 ,353 ,202 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,7 ,30 ,39
0.35 ,404 ,570 ,353 ,202 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,7 ,30 ,40
0.3 ,333 ,545 ,338 ,200 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,7 ,50 ,19
0.3 ,333 ,545 ,338 ,193 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,7 ,50 ,32
0.3 ,333 ,545 ,338 ,195 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,7 ,50 ,32
0.35 ,404 ,570 ,353 ,202 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,28 ,30 ,49
0.35 ,404 ,570 ,353 ,202 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,28 ,30 ,53
0.35 ,404 ,570 ,353 ,202 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,28 ,30 ,57.5
0.3 ,333 ,545 ,338 ,200 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,28 ,50 ,22
0.3 ,333 ,545 ,338 ,193 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,28 ,50 ,42
0.3 ,333 ,545 ,338 ,195 ,59.18 ,2.38 ,8.8 ,22.8 ,2.3 ,28 ,50 ,49
0.42 ,202.4 ,707.5 ,1057.3 ,180.4 ,33.1 ,28.5 ,6.53 ,11.6 ,2.37 ,3 ,60 ,10
0.42 ,201.9 ,707.5 ,1057.3 ,180.7 ,55.8 ,5.87 ,8.31 ,21 ,2.39 ,3 ,60 ,7
0.42 ,202.4 ,707.5 , , , , , , , , , ,
0.42 ,201.9 ,707.5 , , , , , , , , , ,
0.42 ,202.4 ,707.5 ,1057.3 ,180.4 ,33.1 ,28.5 ,6.53 ,11.6 ,2.37 ,28 ,60 ,34
0.42 ,201.9 ,707.5 ,1057.3 ,180.7 ,55.8 ,5.87 ,8.31 ,21 ,2.39 ,28 ,60 ,24
0.42 ,202.4 ,707.5 , , , , , , , , , ,
0.42 ,201.9 ,707.5 , , , , , , , , , ,
0.42 ,202.4 ,707.5 ,1057.3 ,180.4 ,33.1 ,28.5 ,6.53 ,11.6 ,2.37 ,90 ,60 ,46
0.42 ,201.9 ,707.5 ,1057.3 ,180.7 ,55.8 ,5.87 ,8.31 ,21 ,2.39 ,90 ,60 ,31
0.42 ,202.4 ,707.5 , , , , , , , , , ,
0.42 ,201.9 ,707.5 , , , , , , , , , ,
0.75 ,255 ,1745 ,- ,190 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,0 ,10.5
0.49 ,385 ,1680 ,- ,190 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,0 ,23.5
0.37 ,510 ,1675 ,- ,190 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,0 ,39
0.7 ,215 ,1970 ,- ,175 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,15 ,10.5
0.45 ,330 ,1850 ,- ,175 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,15 ,23
0.35 ,420 ,1740 ,- ,175 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,15 ,38.5
0.63 ,190 ,1950 ,- ,170 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,30 ,10
0.41 ,290 ,1820 ,- ,170 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,30 ,23
0.33 ,360 ,1700 ,- ,170 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,30 ,38
0.53 ,170 ,1925 ,- ,165 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,45 ,9.5
0.24 ,270 ,1755 ,- ,165 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,45 ,21.5
0.36 ,350 ,1545 ,- ,165 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,3 ,45 ,33.5
0.75 ,255 ,1745 ,- ,190 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,0 ,16.5
0.49 ,385 ,1680 ,- ,190 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,0 ,34.5
0.37 ,510 ,1675 ,- ,190 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,0 ,52.5
0.7 ,215 ,1970 ,- ,175 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,15 ,16
0.45 ,330 ,1850 ,- ,175 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,15 ,33
0.35 ,420 ,1740 ,- ,175 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,15 ,51
0.63 ,190 ,1950 ,- ,170 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,30 ,15
0.41 ,290 ,1820 ,- ,170 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,30 ,32
0.33 ,360 ,1700 ,- ,170 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,30 ,48
0.53 ,170 ,1925 ,- ,165 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,45 ,14
0.24 ,270 ,1755 ,- ,165 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,45 ,30
0.36 ,350 ,1545 ,- ,165 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,7 ,45 ,45
0.75 ,255 ,1745 ,- ,190 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,0 ,20.5
0.49 ,385 ,1680 ,- ,190 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,0 ,41.5
0.37 ,510 ,1675 ,- ,190 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,0 ,62.5
0.7 ,215 ,1970 ,- ,175 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,15 ,20
0.45 ,330 ,1850 ,- ,175 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,15 ,40.5
0.35 ,420 ,1740 ,- ,175 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,15 ,62.5
0.63 ,190 ,1950 ,- ,170 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,30 ,19.5
0.41 ,290 ,1820 ,- ,170 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,30 ,40
0.33 ,360 ,1700 ,- ,170 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,30 ,57.5
0.53 ,170 ,1925 ,- ,165 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,45 ,18.5
0.24 ,270 ,1755 ,- ,165 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,45 ,39
0.36 ,350 ,1545 ,- ,165 ,47.8 ,7.1 ,3.8 ,30.7 ,- ,14 ,45 ,55.5
0.4 ,352 ,676 ,1205 ,141 ,50.96 ,2.15 ,8.25 ,25.88 ,- ,3 ,0 ,24.23
0.4 ,282 ,676 ,1205 ,141 ,50.96 ,2.15 ,8.25 ,25.88 ,- ,3 ,20 ,16.95
0.4 ,246 ,675 ,1205 ,141 ,50.96 ,2.15 ,8.25 ,25.88 ,- ,3 ,30 ,14.23
0.4 ,352 ,676 ,1205 ,141 ,50.96 ,2.15 ,8.25 ,25.88 ,- ,7 ,0 ,33.18
0.4 ,282 ,676 ,1205 ,141 ,50.96 ,2.15 ,8.25 ,25.88 ,- ,7 ,20 ,30.12
0.4 ,246 ,675 ,1205 ,141 ,50.96 ,2.15 ,8.25 ,25.88 ,- ,7 ,30 ,30.06
0.4 ,352 ,676 ,1205 ,141 ,50.96 ,2.15 ,8.25 ,25.88 ,- ,28 ,0 ,47.51
0.4 ,282 ,676 ,1205 ,141 ,50.96 ,2.15 ,8.25 ,25.88 ,- ,28 ,20 ,48.96
